rownames,SMILES,BP
propionic acid butyl ester,CCCCOC(=O)CC,419.8
3-methylbutyric acid ethyl ester,CC(C)CC(=O)OCC,407.5
enanthic acid,CCCCCCC(=O)O,496.2
formic acid hexyl ester,CCCCCCOC=O,428.6
butyric acid propyl ester,CCCC(=O)OCCC,416.5
heptan-1-ol,CCCCCCCO,449.5
(2S)-heptan-2-ol,CC(CCCCC)O,432.4
5-methylhexan-1-ol,C(CCCC(C)C)O,445.2
heptane-1-thiol,CCCCCCCS,450.1
4-hydroxy-3-methoxy-benzaldehyde,c1cc(c(cc1C=O)OC)O,558.0
4-ethylphenol,c1cc(ccc1CC)O,491.1
"2,3-xylenol",c1(c(cccc1C)O)C,490.1
"2,4-xylenol",c1cc(cc(c1O)C)C,484.1
"2,5-xylenol",c1c(ccc(c1O)C)C,484.3
"2,6-xylenol",c1c(c(c(cc1)C)O)C,474.2
"3,4-xylenol",c1(cc(ccc1C)O)C,500.2
"3,5-xylenol",c1c(cc(cc1O)C)C,494.9
(Z)-but-2-enedioic acid diethyl ester,CCOC(=O)C=CC(=O)OCC,498.2
caprylaldehyde,CCCCCCCC=O,447.2
octan-2-one,CCCCCCC(=O)C,445.8
butyric acid butyl ester,CCCCOC(=O)CCC,438.2
formic acid heptyl ester,CCCCCCCOC=O,451.3
acetic acid hexyl ester,CCCCCCOC(=O)C,444.7
2-methylpropionic acid isobutyl ester,CC(C)COC(=O)C(C)C,420.6
(2R)-2-sec-butoxybutane,CCC(C)OC(C)CC,394.2
(2R)-2-ethylhexan-1-ol,C(C(CCCC)CC)O,457.8
octan-1-ol,C(CCCCCCC)O,468.3
(2S)-octan-2-ol,CC(CCCCCC)O,453.0
octane-1-thiol,CCCCCCCCS,472.2
benzoic acid ethyl ester,c1(ccccc1)C(=O)OCC,486.6
ethoxymethylbenzene,c1cccc(c1)COCC,458.1
"3,5,5-trimethylcyclohex-2-en-1-one",C1(CC(=O)C=C(C1)C)(C)C,488.4
"2,6-dimethylheptan-4-one",CC(C)CC(=O)CC(C)C,441.4
nonan-2-one,CCCCCCCC(=O)C,467.5
nonan-5-one,CCCCC(=O)CCCC,461.6
acetic acid heptyl ester,CCCCCCCOC(=O)C,465.6
pelargonic acid,CCCCCCCCC(=O)O,528.8
formic acid octyl ester,CCCCCCCCOC=O,472.0
"2,6-dimethylheptan-4-ol",CC(C)CC(CC(C)C)O,451.0
nonan-1-ol,CCCCCCCCCO,486.3
(2R)-nonan-2-ol,CCCCCCCC(C)O,471.7
nonane-1-thiol,CCCCCCCCCS,493.0
"benzene-1,2-dicarboxylic acid dimethyl ester",c1cccc(c1C(=O)OC)C(=O)OC,556.8
anethole,CC=Cc1ccc(cc1)OC,508.5
4-tert-butylphenol,c1(ccc(cc1)C(C)(C)C)O,512.9
capric acid,CCCCCCCCCC(=O)O,543.2
3-methylbutyric acid isoamyl ester,CC(C)CCOC(=O)CC(C)C,467.2
acetic acid octyl ester,CCCCCCCCOC(=O)C,484.5
decan-1-ol,CCCCCCCCCCO,504.1
decane-1-thiol,CCCCCCCCCCS,512.3
acrylic acid [(2R)-2-ethylhexyl] ester,C=CC(=O)OCC(CCCC)CC,489.2
undecanoic acid,CCCCCCCCCCC(=O)O,557.4
capric acid methyl ester,CCCCCCCCCC(=O)OC,505.0
undecan-1-ol,CCCCCCCCCCCO,518.2
"benzene-1,2-dicarboxylic acid diethyl ester",c1cccc(c1C(=O)OCC)C(=O)OCC,567.2
acetic acid decyl ester,CCCCCCCCCCOC(=O)C,517.2
lauric acid,CCCCCCCCCCCC(=O)O,571.9
1-hexoxyhexane,CCCCCCOCCCCCC,498.9
tridecanoic acid,CCCCCCCCCCCCC(=O)O,585.3
"9,10-anthraquinone",c1cccc2c1C(=O)c3c(cccc3)C2=O,653.1
"4-(1,1,3,3-tetramethylbutyl)phenol",c1cc(ccc1C(C)(C)CC(C)(C)C)O,563.6
